Area	area	va	daily
	VARIABLES	BEGIN	END
	122	1	364

Area	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	82	23	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	83	24	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	84	25	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	85	26	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	86	27	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	87	28	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	88	29	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	89	30	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	90	31	MAR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	91	01	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	92	02	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	93	03	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	94	04	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	95	05	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	96	06	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	97	07	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	98	08	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	99	09	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	100	10	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	101	11	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	102	12	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	103	13	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	104	14	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	105	15	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	106	16	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	107	17	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	108	18	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	109	19	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	110	20	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	111	21	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	112	22	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	113	23	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	114	24	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	115	25	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	116	26	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	117	27	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	118	28	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	119	29	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	120	30	APR	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	121	01	MAY	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	122	02	MAY	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	123	03	MAY	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	124	04	MAY	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
